Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.06466E-4,73.256462063,0.753384411,0.076989967,0.778713169,0.786248831
2.06614E-4,73.504286109,0.753631816,0.076187291,0.781118461,0.787652011
2.06993E-4,73.75243507,0.754264284,0.075384615,0.783523752,0.790926099
2.07251E-4,74.001047865,0.754693206,0.07458194,0.785728603,0.79373246
2.07671E-4,74.250020237,0.755392005,0.073779264,0.787733013,0.796071094
2.08027E-4,74.520309234,0.75598121,0.072909699,0.789937863,0.797942002
2.08434E-4,74.770210762,0.756653038,0.072107023,0.792142714,0.799345182
2.08923E-4,75.020686112,0.757458678,0.071304348,0.794347565,0.80121609
2.0917E-4,75.250625852,0.757865497,0.070568562,0.796151533,0.803086997
2.09485E-4,75.501795966,0.758381296,0.069765886,0.798556825,0.804022451
2.09777E-4,75.7533694,0.758860212,0.068963211,0.800761676,0.806361085
2.10084E-4,76.005308496,0.759361609,0.068160535,0.802966526,0.808231993
2.1023E-4,76.257514034,0.759598628,0.06735786,0.804970936,0.809167446
2.10603E-4,76.500337493,0.760206375,0.066555184,0.807376228,0.813376988
2.10835E-4,76.762946442,0.760582687,0.065752508,0.809581078,0.815247895
2.11121E-4,77.007713139,0.761047531,0.064949833,0.81198637,0.817118803
2.11471E-4,77.251634895,0.761613929,0.064147157,0.814391662,0.819925164
2.1196E-4,77.502546421,0.762402448,0.063411371,0.816596512,0.825070159
2.12411E-4,77.757224613,0.763128072,0.062608696,0.819001804,0.829747428
2.1289E-4,78.012418352,0.763896244,0.06180602,0.821407096,0.831618335
2.13059E-4,78.256076821,0.76416655,0.061003344,0.823611946,0.832553789
2.13413E-4,78.502596826,0.76473136,0.060267559,0.825816797,0.83536015
2.13907E-4,78.751518296,0.765517795,0.059464883,0.828021648,0.839101964
2.1456E-4,79.016168488,0.766555029,0.058662207,0.830426939,0.845182413
2.14816E-4,79.252307386,0.766959577,0.057926421,0.83263179,0.84565014
2.15063E-4,79.510286,0.767349909,0.057123746,0.834836641,0.847521048
2.15291E-4,79.768498425,0.767709119,0.05632107,0.837241932,0.849859682
2.15664E-4,80.005530966,0.76829559,0.055585284,0.839446783,0.852666043
2.16134E-4,80.263527629,0.769032433,0.054782609,0.841852075,0.856407858
2.16329E-4,80.502444218,0.769337337,0.054046823,0.844056925,0.858278765
2.16725E-4,80.762288854,0.769956323,0.053244147,0.846261776,0.860149673
2.17128E-4,81.000904306,0.770584274,0.052508361,0.848466627,0.862956034
2.1763E-4,81.261770617,0.771363545,0.051705686,0.850871918,0.866230122
2.17964E-4,81.501383112,0.771880777,0.0509699,0.853076769,0.867165575
2.18539E-4,81.763257039,0.772768681,0.050167224,0.855482061,0.86950421
2.19479E-4,82.004272688,0.774211883,0.049431438,0.857085588,0.872310571
2.19812E-4,82.267863647,0.774721108,0.048628763,0.859290439,0.872778297
2.20202E-4,82.509862472,0.775316815,0.047892977,0.86149529,0.873713751
2.2069E-4,82.752388256,0.776058362,0.047157191,0.86370014,0.876052385
2.21149E-4,83.00518941,0.776754465,0.046354515,0.865904991,0.876987839
2.21762E-4,83.253139092,0.77768058,0.045618729,0.868109842,0.881197381
2.22259E-4,83.505615819,0.77842829,0.044882943,0.870314692,0.885874649
2.22615E-4,83.750333372,0.778962166,0.044147157,0.872519543,0.88727783
2.23059E-4,84.017808809,0.779627433,0.043344482,0.874924835,0.888213283
2.23325E-4,84.263302264,0.780023894,0.042608696,0.877129685,0.888213283
2.23681E-4,84.509243622,0.78055387,0.04187291,0.879334536,0.890551918
2.23976E-4,84.75550074,0.780993145,0.041137124,0.881539387,0.891019645
2.24629E-4,85.002271069,0.781959827,0.040401338,0.883343355,0.893358279
2.24926E-4,85.271997631,0.7823993,0.039598662,0.885748647,0.893826006
