X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1278.0,1278.0,train,2.0800293421569977E-4,74.50203755787491,0.7559412304806459
1281.0,1281.0,train,2.0856613686146285E-4,74.83789384302824,0.756871452072052
1282.0,1282.0,train,1.7044819435565122E-4,42.2833729093005,0.6851659174374723
1283.0,1283.0,train,1.5616443757081116E-4,32.15948588731988,0.6531489013270442
1284.0,1284.0,train,4.4154738474979393E-5,5.8848874088941505,0.25872785428854295
1285.0,1285.0,train,1.349212278983306E-4,22.227333482503223,0.5994120448277815
1286.0,1286.0,train,1.8501715253918757E-4,54.106743842392916,0.7147796056808547
1288.0,1288.0,train,1.4984582830104306E-4,28.303225168103758,0.6379659128684931
1290.0,1290.0,train,2.23059453973965E-4,84.0182277850795,0.7796274326609833
1291.0,1291.0,train,2.559542598172646E-4,95.33511485756082,0.8236837662247576
1292.0,1292.0,train,1.899730469648274E-4,58.75375504571366,0.724204631099455
1294.0,1294.0,train,1.5743576122701855E-4,32.97461513915804,0.6561259435528172
1295.0,1295.0,train,9.00047659654508E-5,12.745409451438437,0.4567956360743818
1296.0,1296.0,train,6.386848258694398E-5,8.737005919903192,0.3514750613477101
1297.0,1297.0,train,1.1255718057223972E-4,16.794917838147835,0.5338204414399099
1298.0,1298.0,train,1.1098343026119915E-4,16.44922008273189,0.528819353363946
1300.0,1300.0,train,2.502973657936768E-4,94.01933791421591,0.8167895934572865
1301.0,1301.0,train,1.35657572237672E-4,22.43620514310561,0.601407083937088
1302.0,1302.0,train,1.9947133496478863E-4,67.53594923181659,0.7414066271773919
1303.0,1303.0,train,2.272500602461039E-4,86.4293474961609,0.785800986580337
1305.0,1305.0,train,1.3331036249507525E-4,21.71012979870872,0.5950127067908578
1306.0,1306.0,train,1.8416766724689554E-4,53.30511224451315,0.713132034990761
1307.0,1307.0,train,1.260656328420607E-4,19.896026986317587,0.5746220934376007
1308.0,1308.0,train,2.3797940640927608E-4,90.49767812803005,0.8008305177216655
1309.0,1309.0,train,1.6282975551078782E-4,36.77600707828805,0.6684754197719635
1310.0,1310.0,train,2.2066920684188E-4,82.7420544917072,0.7760267848387246
1314.0,1314.0,train,1.9597807588677608E-4,64.25041306799275,0.7352085366940516
1316.0,1316.0,train,2.662632009373858E-4,97.02824783533019,0.8355872118943766
1318.0,1318.0,train,2.0473223474921302E-4,71.80234766630723,0.7504683515009197
1320.0,1320.0,train,1.4023113717621079E-4,24.199385021001746,0.6135780268431255
1321.0,1321.0,train,2.197537996946468E-4,82.22179435480136,0.7746322956312737
1322.0,1322.0,train,2.233250231119845E-4,84.26331823083386,0.7800238936520104
1323.0,1323.0,train,2.2635080349829532E-4,85.93325996166554,0.7844909538625209
